sku,description,markets_missing,UK
IRELAND-3GB-15D,Ireland 3GB 15Days,0,Active
IRELAND-5GB-30D,Ireland 5GB 30Days,0,Active
ISLE-OF-MAN-20GB-30D,Isle of Man 20GB 30Days,0,Inactive
ISLE-OF-MAN-3GB-15D,Isle of Man 3GB 15Days,0,Inactive
ISLE-OF-MAN-5GB-30D,Isle of Man 5GB 30Days,0,Inactive
ISRAEL-20GB-30D,Israel 20GB 30Days,0,Inactive
ISRAEL-3GB-15D,Israel 3GB 15Days,0,Inactive
ISRAEL-5GB-30D,Israel 5GB 30Days,0,Inactive
ITALY-20GB-30D,Italy 20GB 30Days,0,Active
ITALY-3GB-15D,Italy 3GB 15Days,0,Active
ITALY-5GB-30D,Italy 5GB 30Days,0,Active
JAMAICA-20GB-30D,Jamaica 20GB 30Days,0,Inactive
JAMAICA-3GB-15D,Jamaica 3GB 15Days,0,Inactive
JAMAICA-5GB-30D,Jamaica 5GB 30Days,0,Inactive
JAPAN-20GB-30D,Japan 20GB 30Days,0,Inactive
JAPAN-3GB-15D,Japan 3GB 15Days,0,Active
JAPAN-5GB-30D,Japan 5GB 30Days,0,Inactive
JERSEY-20GB-30D,Jersey 20GB 30Days,0,Inactive
JERSEY-3GB-15D,Jersey 3GB 15Days,0,Inactive
JERSEY-5GB-30D,Jersey 5GB 30Days,0,Inactive
JORDAN-20GB-30D,Jordan 20GB 30Days,0,Inactive
JORDAN-3GB-15D,Jordan 3GB 15Days,0,Inactive
JORDAN-5GB-30D,Jordan 5GB 30Days,0,Inactive
KAZAKHSTAN-20GB-30D,Kazakhstan 20GB 30Days,0,Inactive
KAZAKHSTAN-3GB-15D,Kazakhstan 3GB 15Days,0,Inactive
KAZAKHSTAN-5GB-30D,Kazakhstan 5GB 30Days,0,Inactive
KENYA-3GB-15D,Kenya 3GB 15Days,0,Active
KENYA-5GB-30D,Kenya 5GB 30Days,0,Active
KUWAIT-20GB-30D,Kuwait 20GB 30Days,0,Inactive
KUWAIT-3GB-15D,Kuwait 3GB 15Days,0,Inactive
KUWAIT-5GB-30D,Kuwait 5GB 30Days,0,Inactive
KYRGYZSTAN-20GB-30D,Kyrgyzstan 20GB 30Days,0,Inactive
KYRGYZSTAN-3GB-15D,Kyrgyzstan 3GB 15Days,0,Inactive
LAOS-20GB-30D,Laos 20GB 30Days,0,Inactive
LAOS-3GB-15D,Laos 3GB 15Days,0,Inactive
LAOS-5GB-30D,Laos 5GB 30Days,0,Inactive
LATVIA-20GB-30D,Latvia 20GB 30Days,0,Inactive
LATVIA-3GB-15D,Latvia 3GB 15Days,0,Inactive
LATVIA-5GB-30D,Latvia 5GB 30Days,0,Inactive
LIBERIA-3GB-15D,Liberia 3GB 15Days,0,Inactive
LIBERIA-5GB-30D,Liberia 5GB 30Days,0,Inactive
LIBYA-20GB-30D,Libya 20GB 30Days,0,Inactive
LIBYA-3GB-15D,Libya 3GB 15Days,0,Inactive
LIBYA-5GB-30D,Libya 5GB 30Days,0,Inactive
LIECHTENSTEIN-3GB-15D,Liechtenstein 3GB 15Days,0,Inactive
LITHUANIA-20GB-30D,Lithuania 20GB 30Days,0,Inactive
LITHUANIA-3GB-15D,Lithuania 3GB 15Days,0,Inactive
LITHUANIA-5GB-30D,Lithuania 5GB 30Days,0,Inactive
LUXEMBOURG-20GB-30D,Luxembourg 20GB 30Days,0,Inactive
LUXEMBOURG-3GB-15D,Luxembourg 3GB 15Days,0,Inactive
LUXEMBOURG-5GB-30D,Luxembourg 5GB 30Days,0,Inactive
MACAO-20GB-30D,Macao 20GB 30Days,0,Inactive
MACAO-3GB-15D,Macao 3GB 15Days,0,Inactive
MACAO-5GB-30D,Macao 5GB 30Days,0,Inactive
MADAGASCAR-3GB-15D,Madagascar 3GB 15Days,0,Inactive
MALAWI-3GB-15D,Malawi 3GB 15Days,0,Inactive
MALAWI-5GB-30D,Malawi 5GB 30Days,0,Inactive
MALAYSIA-20GB-30D,Malaysia 20GB 30Days,0,Active
MALAYSIA-3GB-15D,Malaysia 3GB 15Days,0,Active
MALAYSIA-5GB-30D,Malaysia 5GB 30Days,0,Active
MALDIVES-20GB-30D,Maldives 20GB 30Days,0,Inactive
MALDIVES-3GB-15D,Maldives 3GB 15Days,0,Inactive
MALDIVES-5GB-30D,Maldives 5GB 30Days,0,Inactive
MALI-3GB-15D,Mali 3GB 15Days,0,Inactive
MALTA-20GB-30D,Malta 20GB 30Days,0,Inactive
MALTA-3GB-15D,Malta 3GB 15Days,0,Inactive
MALTA-5GB-30D,Malta 5GB 30Days,0,Inactive
MARTINIQUE-20GB-30D,Martinique 20GB 30Days,0,Inactive
MARTINIQUE-3GB-15D,Martinique 3GB 15Days,0,Inactive
MARTINIQUE-5GB-30D,Martinique 5GB 30Days,0,Inactive
MAURITIUS-3GB-15D,Mauritius 3GB 15Days,0,Inactive
MAURITIUS-5GB-30D,Mauritius 5GB 30Days,0,Inactive
MAYOTTE-20GB-30D,Mayotte 20GB 30Days,0,Inactive
MAYOTTE-3GB-15D,Mayotte 3GB 15Days,0,Inactive
MAYOTTE-5GB-30D,Mayotte 5GB 30Days,0,Inactive
MEXICO-20GB-30D,Mexico 20GB 30Days,0,Inactive
MEXICO-3GB-15D,Mexico 3GB 15Days,0,Inactive
MEXICO-5GB-30D,Mexico 5GB 30Days,0,Inactive
MIDDLE-EAST-5GB-30D,Middle East 5GB 30Days,0,Inactive
MOLDOVA-3GB-15D,Moldova 3GB 15Days,0,Inactive
