sku,description,markets_missing,UK,IE,FR,DE,IT,ES,NL,BE,SE,PL
DEMOCRATIC-REPUBLIC-OF-THE-CONGO-3GB-15D,Democratic Republic of the Congo 3GB 15Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Inactive,Inactive
DEMOCRATIC-REPUBLIC-OF-THE-CONGO-5GB-30D,Democratic Republic of the Congo 5GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Inactive,Active
DENMARK-20GB-30D,Denmark 20GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Inactive,Active
DENMARK-3GB-15D,Denmark 3GB 15Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Inactive
DENMARK-5GB-30D,Denmark 5GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Active
DOMINICA-20GB-30D,Dominica 20GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Active
DOMINICA-3GB-15D,Dominica 3GB 15Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Inactive
DOMINICA-5GB-30D,Dominica 5GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Inactive,Active
DOMINICAN-REPUBLIC-20GB-30D,Dominican Republic 20GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Inactive,Inactive
DOMINICAN-REPUBLIC-3GB-15D,Dominican Republic 3GB 15Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Inactive
DOMINICAN-REPUBLIC-5GB-30D,Dominican Republic 5GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Inactive
DRC-20GB-30D,Democratic Republic of the Congo 20GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Inactive,Inactive
ECUADOR-3GB-15D,Ecuador 3GB 15Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Inactive
EGYPT-20GB-30D,Egypt 20GB 30Days,0,Active,Active,Active,Active,Active,Active,Active,Active,Inactive,Active
EGYPT-3GB-15D,Egypt 3GB 15Days,0,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active
EGYPT-5GB-30D,Egypt 5GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Inactive,Inactive
EL-SALVADOR-3GB-15D,El Salvador 3GB 15Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Inactive
ESTONIA-20GB-30D,Estonia 20GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Active
ESTONIA-3GB-15D,Estonia 3GB 15Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Inactive
ESTONIA-5GB-30D,Estonia 5GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Active
EUROPE-40-AREAS-20GB-30D,Europe(40+ areas) 20GB 30Days,0,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
EUROPE-40-AREAS-5GB-30D,Europe(40+ areas) 5GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Inactive,Active
FAROE-ISLANDS-20GB-30D,Faroe Islands 20GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Active
FAROE-ISLANDS-3GB-15D,Faroe Islands 3GB 15Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Inactive
FAROE-ISLANDS-5GB-30D,Faroe Islands 5GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Inactive
FIJI-20GB-30D,Fiji 20GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Inactive,Active
FIJI-3GB-15D,Fiji 3GB 15Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Inactive,Inactive
FIJI-5GB-30D,Fiji 5GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Active
FINLAND-3GB-15D,Finland 3GB 15Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Inactive
FINLAND-5GB-30D,Finland 5GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Inactive
FRANCE-20GB-30D,France 20GB 30Days,0,Active,Active,Active,Active,Active,Active,Active,Active,Inactive,Active
FRANCE-3GB-15D,France 3GB 15Days,0,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active
FRANCE-5GB-30D,France 5GB 30Days,0,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active
FRENCH-GUIANA-20GB-30D,French Guiana 20GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Inactive,Inactive
FRENCH-GUIANA-3GB-15D,French Guiana 3GB 15Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Inactive
FRENCH-GUIANA-5GB-30D,French Guiana 5GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Inactive
FRENCH-POLYNESIA-20GB-30D,French Polynesia 20GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Inactive,Active
FRENCH-POLYNESIA-3GB-15D,French Polynesia 3GB 15Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Inactive
FRENCH-POLYNESIA-5GB-30D,French Polynesia 5GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Inactive
GABON-3GB-15D,Gabon 3GB 15Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Active
GAMBIA-3GB-15D,Gambia 3GB 15Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Inactive
GAMBIA-5GB-30D,Gambia 5GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Inactive,Active
GEORGIA-20GB-30D,Georgia 20GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Inactive
GEORGIA-3GB-15D,Georgia 3GB 15Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Inactive
GERMANY-20GB-30D,Germany 20GB 30Days,0,Active,Active,Active,Active,Inactive,Inactive,Active,Active,Inactive,Inactive
GERMANY-3GB-15D,Germany 3GB 15Days,0,Active,Active,Active,Active,Inactive,Inactive,Active,Active,Inactive,Inactive
GERMANY-5GB-30D,Germany 5GB 30Days,0,Active,Active,Active,Active,Inactive,Inactive,Active,Active,Inactive,Inactive
GHANA-20GB-30D,Ghana 20GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Inactive,Inactive
GHANA-3GB-15D,Ghana 3GB 15Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Inactive,Inactive
GHANA-5GB-30D,Ghana 5GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Inactive,Inactive
GIBRALTAR-3GB-15D,Gibraltar 3GB 15Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Inactive,Active
GLOBAL139-5GB-30D,Global139 5GB 30Days,0,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
GREECE-20GB-30D,Greece 20GB 30Days,0,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active
GREECE-3GB-15D,Greece 3GB 15Days,0,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active
GREECE-5GB-30D,Greece 5GB 30Days,0,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active
GREENLAND-20GB-30D,Greenland 20GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Inactive
GREENLAND-3GB-15D,Greenland 3GB 15Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Inactive,Active
GREENLAND-5GB-30D,Greenland 5GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Inactive,Inactive
GRENADA-20GB-30D,Grenada 20GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Active
GRENADA-3GB-15D,Grenada 3GB 15Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Active
GRENADA-5GB-30D,Grenada 5GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Inactive,Active
GUADELOUPE-20GB-30D,Guadeloupe 20GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Inactive,Active
GUADELOUPE-3GB-15D,Guadeloupe 3GB 15Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Inactive
GUAM-20GB-30D,Guam 20GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Inactive,Active
GUAM-3GB-15D,Guam 3GB 15Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Inactive,Active
GUAM-5GB-30D,Guam 5GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Inactive,Active
GUATEMALA-3GB-15D,Guatemala 3GB 15Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Active
GUERNSEY-20GB-30D,Guernsey 20GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Active
GUERNSEY-3GB-15D,Guernsey 3GB 15Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Inactive
GUERNSEY-5GB-30D,Guernsey 5GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Inactive
GUINEA-20GB-30D,Guinea 20GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Inactive,Active
GUINEA-3GB-15D,Guinea 3GB 15Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Active
GUINEA-5GB-30D,Guinea 5GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Inactive,Active
GUINEA-BISSAU-20GB-30D,Guinea-Bissau 20GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Inactive
GUINEA-BISSAU-3GB-15D,Guinea-Bissau 3GB 15Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Active
GUINEA-BISSAU-5GB-30D,Guinea-Bissau 5GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Inactive
GUYANA-20GB-30D,Guyana 20GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Active
GUYANA-3GB-15D,Guyana 3GB 15Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Inactive
GUYANA-5GB-30D,Guyana 5GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Active
HAITI-20GB-30D,Haiti 20GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Active
HAITI-3GB-15D,Haiti 3GB 15Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Inactive,Inactive
HAITI-5GB-30D,Haiti 5GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Active
HONDURAS-3GB-15D,Honduras 3GB 15Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Inactive,Inactive
HONG-KONG-20GB-30D,Hong Kong 20GB 30Days,1,Active,Active,Active,Active,Active,Active,MISSING,Active,Inactive,Active
HONG-KONG-3GB-15D,Hong Kong 3GB 15Days,0,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active
HONG-KONG-5GB-30D,Hong Kong 5GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Active
HUNGARY-20GB-30D,Hungary 20GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Inactive,Inactive
HUNGARY-3GB-15D,Hungary 3GB 15Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Inactive
HUNGARY-5GB-30D,Hungary 5GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Inactive
ICELAND-20GB-30D,Iceland 20GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Inactive,Inactive
ICELAND-3GB-15D,Iceland 3GB 15Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Inactive
ICELAND-5GB-30D,Iceland 5GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Active,Inactive
INDIA-20GB-30D,India 20GB 30Days,0,Active,Active,Active,Active,Active,Active,Active,Active,Inactive,Active
INDIA-3GB-15D,India 3GB 15Days,0,Active,Active,Active,Active,Active,Active,Active,Active,Inactive,Active
INDIA-5GB-30D,India 5GB 30Days,0,Active,Active,Active,Active,Active,Active,Active,Active,Inactive,Active
INDONESIA-20GB-30D,Indonesia 20GB 30Days,0,Active,Active,Active,Active,Active,Active,Active,Active,Inactive,Active
INDONESIA-3GB-15D,Indonesia 3GB 15Days,0,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active
INDONESIA-5GB-30D,Indonesia 5GB 30Days,0,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active
IRAQ-20GB-30D,Iraq 20GB 30Days,0,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
IRAQ-3GB-15D,Iraq 3GB 15Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Inactive,Active
IRAQ-5GB-30D,Iraq 5GB 30Days,0,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
IRELAND-20GB-30D,Ireland 20GB 30Days,0,Active,Active,Active,Active,Active,Active,Active,Active,Inactive,Active
IRELAND-3GB-15D,Ireland 3GB 15Days,0,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active
IRELAND-5GB-30D,Ireland 5GB 30Days,0,Active,Active,Active,Active,Active,Active,Active,Active,Active,Active
ISLE-OF-MAN-20GB-30D,Isle of Man 20GB 30Days,0,Inactive,Active,Active,Active,Active,Active,Active,Active,Inactive,Inactive
