sku,market,asin,before,after,status,issues
BELARUS-5GB-30D,UK,B0FR8FFT4D,DEFAULT,DEFAULT,NOT_APPLIED,"accepted but offer still reports DEFAULT; attributes=['AMAZON_EU', 'DEFAULT']"
BELGIUM-20GB-30D,UK,B0FR9BVRCH,DEFAULT,DEFAULT,NOT_APPLIED,"accepted but offer still reports DEFAULT; attributes=['AMAZON_EU', 'DEFAULT']"
BELGIUM-3GB-15D,UK,B0FR9G432K,DEFAULT,DEFAULT,NOT_APPLIED,"accepted but offer still reports DEFAULT; attributes=['AMAZON_EU', 'DEFAULT']"
BELGIUM-5GB-30D,UK,B0FR9SXCW6,DEFAULT,DEFAULT,NOT_APPLIED,"accepted but offer still reports DEFAULT; attributes=['AMAZON_EU', 'DEFAULT']"
BELIZE-20GB-30D,UK,B0H6MBSQM8,DEFAULT,DEFAULT,NOT_APPLIED,"accepted but offer still reports DEFAULT; attributes=['AMAZON_EU', 'DEFAULT']"
BELIZE-3GB-15D,UK,B0H6MFPNTX,DEFAULT,DEFAULT,NOT_APPLIED,"accepted but offer still reports DEFAULT; attributes=['AMAZON_EU', 'DEFAULT']"
BELIZE-5GB-30D,UK,B0H6MF1H4V,DEFAULT,DEFAULT,NOT_APPLIED,"accepted but offer still reports DEFAULT; attributes=['AMAZON_EU', 'DEFAULT']"
BENIN-20GB-30D,UK,B0H6M7VGSZ,DEFAULT,DEFAULT,NOT_APPLIED,"accepted but offer still reports DEFAULT; attributes=['AMAZON_EU', 'DEFAULT']"
BENIN-3GB-15D,UK,B0H6M9YHDR,DEFAULT,DEFAULT,NOT_APPLIED,"accepted but offer still reports DEFAULT; attributes=['AMAZON_EU', 'DEFAULT']"
BENIN-5GB-30D,UK,B0H6MHRNBH,DEFAULT,DEFAULT,NOT_APPLIED,"accepted but offer still reports DEFAULT; attributes=['AMAZON_EU', 'DEFAULT']"
BERMUDA-20GB-30D,UK,B0H6MCGQ77,DEFAULT,DEFAULT,NOT_APPLIED,"accepted but offer still reports DEFAULT; attributes=['AMAZON_EU', 'DEFAULT']"
BERMUDA-3GB-15D,UK,B0H6MDMTGH,DEFAULT,DEFAULT,NOT_APPLIED,"accepted but offer still reports DEFAULT; attributes=['AMAZON_EU', 'DEFAULT']"
BERMUDA-5GB-30D,UK,B0H6MFM5X4,DEFAULT,DEFAULT,NOT_APPLIED,"accepted but offer still reports DEFAULT; attributes=['AMAZON_EU', 'DEFAULT']"
BE_20_30,UK,B0FR9BVRCH,DEFAULT,DEFAULT,NOT_APPLIED,"accepted but offer still reports DEFAULT; attributes=['AMAZON_EU', 'DEFAULT']"
BE_3_15,UK,B0FR9G432K,DEFAULT,DEFAULT,NOT_APPLIED,"accepted but offer still reports DEFAULT; attributes=['AMAZON_EU', 'DEFAULT']"
BE_5_30,UK,B0FR9SXCW6,DEFAULT,DEFAULT,NOT_APPLIED,"accepted but offer still reports DEFAULT; attributes=['AMAZON_EU', 'DEFAULT']"
BF_3_15,UK,B0FR9HWFSK,DEFAULT,DEFAULT,NOT_APPLIED,"accepted but offer still reports DEFAULT; attributes=['AMAZON_EU', 'DEFAULT']"
BF_5_30,UK,B0FR9BWKSY,DEFAULT,DEFAULT,NOT_APPLIED,"accepted but offer still reports DEFAULT; attributes=['AMAZON_EU', 'DEFAULT']"
BHUTAN-20GB-30D,UK,B0H6M5WDSH,DEFAULT,DEFAULT,NOT_APPLIED,"accepted but offer still reports DEFAULT; attributes=['AMAZON_EU', 'DEFAULT']"
BHUTAN-3GB-15D,UK,B0H6MJB588,DEFAULT,DEFAULT,NOT_APPLIED,"accepted but offer still reports DEFAULT; attributes=['AMAZON_EU', 'DEFAULT']"
BHUTAN-5GB-30D,UK,B0H6M9C23Q,DEFAULT,DEFAULT,NOT_APPLIED,"accepted but offer still reports DEFAULT; attributes=['AMAZON_EU', 'DEFAULT']"
BH_3_15,UK,B0FR9K64KF,DEFAULT,DEFAULT,NOT_APPLIED,"accepted but offer still reports DEFAULT; attributes=['AMAZON_EU', 'DEFAULT']"
BN_20_30,UK,B0FR9F971C,DEFAULT,DEFAULT,NOT_APPLIED,"accepted but offer still reports DEFAULT; attributes=['AMAZON_EU', 'DEFAULT']"
BN_3_15,UK,B0FR9KTJND,DEFAULT,DEFAULT,NOT_APPLIED,"accepted but offer still reports DEFAULT; attributes=['AMAZON_EU', 'DEFAULT']"
BOLIVIA-20GB-30D,UK,B0FR9RH588,DEFAULT,DEFAULT,NOT_APPLIED,"accepted but offer still reports DEFAULT; attributes=['AMAZON_EU', 'DEFAULT']"
BOLIVIA-3GB-15D,UK,B0FR8FKPKH,DEFAULT,DEFAULT,NOT_APPLIED,"accepted but offer still reports DEFAULT; attributes=['AMAZON_EU', 'DEFAULT']"
BOSNIA-AND-HERZEGOVINA-3GB-15D,UK,B0FR9G8ZVK,DEFAULT,DEFAULT,NOT_APPLIED,"accepted but offer still reports DEFAULT; attributes=['AMAZON_EU', 'DEFAULT']"
BOTSWANA-3GB-15D,UK,B0FR9G7N2Q,DEFAULT,DEFAULT,NOT_APPLIED,"accepted but offer still reports DEFAULT; attributes=['AMAZON_EU', 'DEFAULT']"
BO_20_30,UK,B0FR9RH588,DEFAULT,DEFAULT,NOT_APPLIED,"accepted but offer still reports DEFAULT; attributes=['AMAZON_EU', 'DEFAULT']"
BO_3_15,UK,B0FR8FKPKH,DEFAULT,DEFAULT,NOT_APPLIED,"accepted but offer still reports DEFAULT; attributes=['AMAZON_EU', 'DEFAULT']"
BRAZIL-20GB-30D,UK,B0FR9KLZCR,DEFAULT,DEFAULT,NOT_APPLIED,"accepted but offer still reports DEFAULT; attributes=['AMAZON_EU', 'DEFAULT']"
BRAZIL-3GB-15D,UK,B0FR9G5LKV,DEFAULT,DEFAULT,NOT_APPLIED,"accepted but offer still reports DEFAULT; attributes=['AMAZON_EU', 'DEFAULT']"
BRUNEI-DARUSSALAM-20GB-30D,UK,B0FR9F971C,DEFAULT,DEFAULT,NOT_APPLIED,"accepted but offer still reports DEFAULT; attributes=['AMAZON_EU', 'DEFAULT']"
BRUNEI-DARUSSALAM-3GB-15D,UK,B0FR9KTJND,DEFAULT,DEFAULT,NOT_APPLIED,"accepted but offer still reports DEFAULT; attributes=['AMAZON_EU', 'DEFAULT']"
BR_20_30,UK,B0FR9KLZCR,DEFAULT,DEFAULT,NOT_APPLIED,"accepted but offer still reports DEFAULT; attributes=['AMAZON_EU', 'DEFAULT']"
