item-name	item-description	listing-id	seller-sku	price	quantity	open-date	image-url	item-is-marketplace	product-id-type	zshop-shipping-fee	item-note	item-condition	zshop-category1	zshop-browse-path	zshop-storefront-feature	asin1	asin2	asin3	will-ship-internationally	expedited-shipping	zshop-boldface	product-id	bid-for-featured-placement	add-delete	pending-quantity	fulfillment-channel	status
Kanada eSIM 3 GB 15 dni | Pay As You Go Data SIM | Łatwa konfiguracja | Podróżna karta SIM dla turystów i biznesu | Prędkości 3G/4G		0327H0G5RM8	CA_3_15	53.64		2026-03-27 09:46:39 CET		y	1			11				B0FR9RZLF3						B0FR9RZLF3				AMAZON_EU	Inactive
Kanada eSIM 5 GB 30 dni | Pay As You Go Data SIM | Łatwa konfiguracja | Podróżna karta SIM dla turystów i biznesu | Prędkości 3G/4G		0327H0EMXJ3	CA_5_30	69.51		2026-03-27 09:36:36 CET		y	1			11				B0FR9SYCBK						B0FR9SYCBK				AMAZON_EU	Inactive
Central African Republic eSIM 3GB 15Days	Central African Republic eSIM 3GB 15Days - high speed internet - mobile data 5G compatible	0630HV0L09F	CENTRAL-AFRICAN-REPUBLIC-3GB-15D	90.99		2026-07-01 00:50:07 CEST		y	4			11				B0FR9RK8FP						8721438401352				AMAZON_EU	Inactive
Chile eSIM 3GB 15Days	Chile eSIM 3GB 15Days - high speed internet - mobile data 5G compatible	0630HV53UM3	CHILE-3GB-15D	60.99		2026-07-01 01:03:12 CEST		y	4			11				B0FR9RY1RT						8721438401451				AMAZON_EU	Inactive
China eSIM 20GB 30Days	China eSIM 20GB 30Days - high speed internet - mobile data 5G compatible	0630HUXG20F	CHINA-20GB-30D	80.99		2026-07-01 01:14:46 CEST		y	4			11				B0FR9GD6X9						8721438401604				AMAZON_EU	Inactive
China eSIM 3GB 15Days	China eSIM 3GB 15Days - high speed internet - mobile data 5G compatible	0630HV4ULZR	CHINA-3GB-15D	35.99		2026-07-01 01:07:27 CEST		y	4			11				B0FR9QZ578						8721438401574				AMAZON_EU	Inactive
Switzerland eSIM 3GB 15Days		0325HSMVPLU	CH_3_15	30.48		2026-03-25 12:44:04 CET		y	1			11				B0FRB5LFVC						B0FRB5LFVC				AMAZON_EU	Inactive
China eSIM 20GB 30Days		0327H0GQYVF	CN_20_30	109.31		2026-03-27 09:28:40 CET		y	1			11				B0FR9GD6X9						B0FR9GD6X9				AMAZON_EU	Inactive
Colombia eSIM 3GB 15Days	Colombia eSIM 3GB 15Days - high speed internet - mobile data 5G compatible	0630HV8QQP8	COLOMBIA-3GB-15D	60.99		2026-07-01 01:18:48 CEST		y	4			11				B0FR9RL8W5						8721438401673				AMAZON_EU	Inactive
Costa Rica eSIM 3GB 15Days	Costa Rica eSIM 3GB 15Days - high speed internet - mobile data 5G compatible	0630HV8TIPJ	COSTA-RICA-3GB-15D	65.99		2026-07-01 01:29:07 CEST		y	4			11				B0FR9LNRMN						8721438401765				AMAZON_EU	Inactive
Croatia eSIM 20GB 30Days	Croatia eSIM 20GB 30Days - high speed internet - mobile data 5G compatible	0630HV0WPY4	CROATIA-20GB-30D	75.99		2026-07-01 01:45:59 CEST		y	4			11				B0FR9TYCSL						8721438401857				AMAZON_EU	Inactive
Croatia eSIM 3GB 15Days	Croatia eSIM 3GB 15Days - high speed internet - mobile data 5G compatible	0630HVB8QRH	CROATIA-3GB-15D	35.99		2026-07-01 01:40:38 CEST		y	4			11				B0FR9GDKT1						8721438401819				AMAZON_EU	Inactive
Croatia eSIM 5GB 30Days	Croatia eSIM 5GB 30Days - high speed internet - mobile data 5G compatible	0630HUXPN7J	CROATIA-5GB-30D	40.99		2026-07-01 01:43:03 CEST		y	4			11				B0FR9BVV58						8721438401833				AMAZON_EU	Inactive
Curacao eSIM 3GB 15Days	Curacao eSIM 3GB 15Days - high speed internet - mobile data 5G compatible	0630HTZUD7B	CURACAO-3GB-15D	95.99		2026-06-30 16:07:32 CEST		y	4			11				B0H6M81JPM						8721438408818				AMAZON_EU	Inactive
Curacao eSIM 5GB 30Days	Curacao eSIM 5GB 30Days - high speed internet - mobile data 5G compatible	0630HTYN7FU	CURACAO-5GB-30D	125.99		2026-06-30 16:10:28 CEST		y	4			11				B0H6MGZLBC						8721438408825				AMAZON_EU	Inactive
Cyprus eSIM 3GB 15Days	Cyprus eSIM 3GB 15Days - high speed internet - mobile data 5G compatible	0630HVBB5Y5	CYPRUS-3GB-15D	35.99		2026-07-01 01:49:19 CEST		y	4			11				B0FR8XJWWG						8721438401888				AMAZON_EU	Inactive
Czech Republic eSIM 3GB 15Days	Czech Republic eSIM 3GB 15Days - high speed internet - mobile data 5G compatible	0630HV6HEH7	CZECH-REPUBLIC-3GB-15D	35.99		2026-07-01 01:56:28 CEST		y	4			11				B0FR9SB2Q3						8721438401949				AMAZON_EU	Inactive
Czech Republic eSIM 5GB 30Days	Czech Republic eSIM 5GB 30Days - high speed internet - mobile data 5G compatible	0630HVBR84R	CZECH-REPUBLIC-5GB-30D	40.99		2026-07-01 01:59:34 CEST		y	4			11				B0FR9BY2LF						8721438401963				AMAZON_EU	Inactive
Democratic Republic of the Congo eSIM 3GB 15Days	Democratic Republic of the Congo eSIM 3GB 15Days - high speed internet - mobile data 5G compatible	0630HU23SU2	DEMOCRATIC-REPUBLIC-OF-THE-CONGO-3GB-15D	60.99		2026-06-30 16:17:38 CEST		y	4			11				B0H6LZL22Y						8721438408849				AMAZON_EU	Inactive
Denmark eSIM 3GB 15Days	Denmark eSIM 3GB 15Days - high speed internet - mobile data 5G compatible	0701HV3YO7O	DENMARK-3GB-15D	35.99		2026-07-01 02:06:12 CEST		y	4			11				B0FR9GSNP4						8721438402014				AMAZON_EU	Inactive
Germany eSIM 20GB 30Days		0327H1EE1A0	DE_20_30	142.68		2026-03-27 13:17:42 CET		y	1			11				B0GSZP9H94						B0GSZP9H94				AMAZON_EU	Inactive
Germany eSIM 3GB 15Days		0327H0JAGIP	DE_3_15	43.2		2026-03-27 09:30:25 CET		y	1			11				B0GSZBMLKV						B0GSZBMLKV				AMAZON_EU	Inactive
Germany eSIM 5GB 30Days		0327H0NV3UD	DE_5_30	51.07		2026-03-27 10:52:25 CET		y	1			11				B0GSZDYWLZ						B0GSZDYWLZ				AMAZON_EU	Inactive
Dominica eSIM 3GB 15Days	Dominica eSIM 3GB 15Days - high speed internet - mobile data 5G compatible	0630HU09JX8	DOMINICA-3GB-15D	105.99		2026-06-30 16:28:20 CEST		y	4			11				B0H6M9H54M						8721438408870				AMAZON_EU	Inactive
Dominican Republic eSIM 20GB 30Days	Dominican Republic eSIM 20GB 30Days - high speed internet - mobile data 5G compatible	0701HVA9551	DOMINICAN-REPUBLIC-20GB-30D	170.99		2026-07-01 02:21:17 CEST		y	4			11				B0FR9C6DJF						8721438402106				AMAZON_EU	Inactive
Dominican Republic eSIM 3GB 15Days	Dominican Republic eSIM 3GB 15Days - high speed internet - mobile data 5G compatible	0701HV6N8VW	DOMINICAN-REPUBLIC-3GB-15D	55.99		2026-07-01 02:15:46 CEST		y	4			11				B0FR9GSKZF						8721438402083				AMAZON_EU	Inactive
Dominican Republic eSIM 5GB 30Days	Dominican Republic eSIM 5GB 30Days - high speed internet - mobile data 5G compatible	0701HV9RFEP	DOMINICAN-REPUBLIC-5GB-30D	65.99		2026-07-01 02:18:31 CEST		y	4			11				B0FR9GQKCM						8721438402090				AMAZON_EU	Inactive
Democratic Republic of the Congo eSIM 20GB 30Days	Democratic Republic of the Congo eSIM 20GB 30Days - high speed internet - mobile data 5G compatible	0630HTZHKYE	DRC-20GB-30D	255.99		2026-06-30 16:24:37 CEST		y	4			11				B0H6MZWFM7						8721438408863				AMAZON_EU	Inactive
