item-name	item-description	listing-id	seller-sku	price	quantity	open-date	image-url	item-is-marketplace	product-id-type	zshop-shipping-fee	item-note	item-condition	zshop-category1	zshop-browse-path	zshop-storefront-feature	asin1	asin2	asin3	will-ship-internationally	expedited-shipping	zshop-boldface	product-id	bid-for-featured-placement	add-delete	pending-quantity	fulfillment-channel	status
Finland eSIM 3GB 15Days	Finland eSIM 3GB 15Days - high speed internet - mobile data 5G compatible	0701HVG11ED	FINLAND-ESIM		0	2026-07-01 02:56:05 CEST		y	1			11				B0H73DM7SQ						B0H73DM7SQ			0	DEFAULT	Incomplete
France eSIM 3GB 15Days	France eSIM 3GB 15Days - high speed internet - mobile data 5G compatible	0701HVALJH3	FRANCE-ESIM		0	2026-07-01 03:03:26 CEST		y	1			11				B0H73J1NS6						B0H73J1NS6			0	DEFAULT	Incomplete
French Guiana eSIM 3GB 15Days	French Guiana eSIM 3GB 15Days - high speed internet - mobile data 5G compatible	0630HU9Y5BV	FRENCH-GUIANA-ESIM		0	2026-06-30 16:55:21 CEST		y	1			11				B0H728FJQW						B0H728FJQW			0	DEFAULT	Incomplete
French Polynesia eSIM 20GB 30Days	French Polynesia eSIM 20GB 30Days - high speed internet - mobile data 5G compatible	0630HU9WQA5	FRENCH-POLYNESIA-ESIM		0	2026-06-30 17:04:58 CEST		y	1			11				B0H72MCYFX						B0H72MCYFX			0	DEFAULT	Incomplete
Gabon eSIM 3GB 15Days	Gabon eSIM 3GB 15Days - high speed internet - mobile data 5G compatible	0701HVBGHS6	GABON-ESIM		0	2026-07-01 03:14:18 CEST		y	1			11				B0H73Q6M9P						B0H73Q6M9P			0	DEFAULT	Incomplete
Gambia eSIM 3GB 15Days	Gambia eSIM 3GB 15Days - high speed internet - mobile data 5G compatible	0701HY7M7RA	GAMBIA-ESIM		0	2026-07-01 16:13:38 CEST		y	1			11				B0H7668DQ6						B0H7668DQ6			0	DEFAULT	Incomplete
Verenigd Koninkrijk eSIM 20 GB 30 dagen | Pay As You Go Data SIM | Eenvoudige installatie | UK Travel SIM voor toeristen en bedrijven | 3G/4G-snelheden		0325HR8QSMT	GB_20_30			2026-03-25 06:19:42 CET		y	1			11				B0FRDGCBTN						B0FRDGCBTN				AMAZON_EU	Incomplete
United Kingdom eSIM 3GB 15Days		0325HR1KK2Y	GB_3_15			2026-03-25 06:15:38 CET		y	1			11				B0FRCPD8TS						B0FRCPD8TS				AMAZON_EU	Incomplete
United Kingdom eSIM 5GB 30Days		0325HR8TYW4	GB_5_30			2026-03-25 06:12:28 CET		y	1			11				B0FRDDRGJF						B0FRDDRGJF				AMAZON_EU	Incomplete
Georgia eSIM 3GB 15Days	Georgia eSIM 3GB 15Days - high speed internet - mobile data 5G compatible	0701HVEQMIB	GEORGIA-ESIM		0	2026-07-01 03:17:59 CEST		y	1			11				B0H739FZGP						B0H739FZGP			0	DEFAULT	Incomplete
Germany eSIM 3GB 15Days	Germany eSIM 3GB 15Days - high speed internet - mobile data 5G compatible	0701HVD21S8	GERMANY-ESIM		0	2026-07-01 03:25:18 CEST		y	1			11				B0H72WZTL1						B0H72WZTL1			0	DEFAULT	Incomplete
Ghana eSIM 5GB 30Days	Ghana eSIM 5GB 30Days - high speed internet - mobile data 5G compatible	0630HU6Y2SH	GHANA-ESIM		0	2026-06-30 17:15:03 CEST		y	1			11				B0H72FV91W						B0H72FV91W			0	DEFAULT	Incomplete
Gibraltar eSIM 3GB 15Days	Gibraltar eSIM 3GB 15Days - high speed internet - mobile data 5G compatible	0701HVAUZ7C	GIBRALTAR-ESIM		0	2026-07-01 03:36:10 CEST		y	1			11				B0H73JDMQQ						B0H73JDMQQ			0	DEFAULT	Incomplete
Global139 eSIM 5GB 30Days	Global139 eSIM 5GB 30Days - high speed internet - mobile data 5G compatible	0701HVCST6X	GLOBAL139-ESIM		0	2026-07-01 03:40:02 CEST		y	1			11				B0H73SMJ7G						B0H73SMJ7G			0	DEFAULT	Incomplete
Greece eSIM 3GB 15Days	Greece eSIM 3GB 15Days - high speed internet - mobile data 5G compatible	0701HVFC4JR	GREECE-ESIM		0	2026-07-01 03:44:16 CEST		y	1			11				B0H73LZ3KS						B0H73LZ3KS			0	DEFAULT	Incomplete
Greenland eSIM 3GB 15Days	Greenland eSIM 3GB 15Days - high speed internet - mobile data 5G compatible	0630HU43N26	GREENLAND-ESIM		0	2026-06-30 17:24:48 CEST		y	1			11				B0H72KV2ZF						B0H72KV2ZF			0	DEFAULT	Incomplete
Grenada eSIM 20GB 30Days	Grenada eSIM 20GB 30Days - high speed internet - mobile data 5G compatible	0630HUAJ5TK	GRENADA-ESIM		0	2026-06-30 17:34:54 CEST		y	1			11				B0H72F69HF						B0H72F69HF			0	DEFAULT	Incomplete
Guadeloupe eSIM 3GB 15Days	Guadeloupe eSIM 3GB 15Days - high speed internet - mobile data 5G compatible	0701HVB0YRJ	GUADELOUPE-ESIM		0	2026-07-01 03:55:31 CEST		y	1			11				B0H73L14H5						B0H73L14H5			0	DEFAULT	Incomplete
Guam eSIM 3GB 15Days	Guam eSIM 3GB 15Days - high speed internet - mobile data 5G compatible	0701HVGYPTG	GUAM-ESIM		0	2026-07-01 04:01:57 CEST		y	1			11				B0H73SMJZ7						B0H73SMJZ7			0	DEFAULT	Incomplete
Guatemala eSIM 3GB 15Days	Guatemala eSIM 3GB 15Days - high speed internet - mobile data 5G compatible	0701HVE6AS3	GUATEMALA-ESIM		0	2026-07-01 04:12:55 CEST		y	1			11				B0H73P9JTT						B0H73P9JTT			0	DEFAULT	Incomplete
Guernsey eSIM 3GB 15Days	Guernsey eSIM 3GB 15Days - high speed internet - mobile data 5G compatible	0701HVIRZ07	GUERNSEY-ESIM		0	2026-07-01 04:16:40 CEST		y	1			11				B0H73T78TS						B0H73T78TS			0	DEFAULT	Incomplete
Guinea-Bissau eSIM 3GB 15Days	Guinea-Bissau eSIM 3GB 15Days - high speed internet - mobile data 5G compatible	0630HUE6B0Y	GUINEA-BISSAU-ESIM		0	2026-06-30 17:53:51 CEST		y	1			11				B0H72JP1LM						B0H72JP1LM			0	DEFAULT	Incomplete
Guinea eSIM 3GB 15Days	Guinea eSIM 3GB 15Days - high speed internet - mobile data 5G compatible	0630HU7WQEZ	GUINEA-ESIM		0	2026-06-30 17:45:00 CEST		y	1			11				B0H72JNT71						B0H72JNT71			0	DEFAULT	Incomplete
Guyana eSIM 3GB 15Days	Guyana eSIM 3GB 15Days - high speed internet - mobile data 5G compatible	0630HUCNCKO	GUYANA-ESIM		0	2026-06-30 18:04:05 CEST		y	1			11				B0H72HX2BD						B0H72HX2BD			0	DEFAULT	Incomplete
Haiti eSIM 3GB 15Days	Haiti eSIM 3GB 15Days - high speed internet - mobile data 5G compatible	0630HU86SJM	HAITI-ESIM		0	2026-06-30 18:14:11 CEST		y	1			11				B0H732S2ZG						B0H732S2ZG			0	DEFAULT	Incomplete
Hajjj Package Luxury eSIM | Saudi Arabia Travel Data | Travel Guide Included | 3G/4G/5G Speeds	Premium Islamic Hajj eSIM package with 10GB data valid for 30 days. Includes Hajj Luxury Travel Guide and exclusive Saudi Arabian travel guides. Instant QR activation for use across Saudi Arabia.	0630HTQP1CQ	HAJJ-LUXURY-ESIM		0	2026-06-30 13:08:33 CEST		y	1			11				B0H724PXPY						B0H724PXPY			0	DEFAULT	Incomplete
Honduras eSIM 3GB 15Days	Honduras eSIM 3GB 15Days - high speed internet - mobile data 5G compatible	0701HVKJW7Y	HONDURAS-ESIM		0	2026-07-01 04:27:07 CEST		y	1			11				B0H73QX4XB						B0H73QX4XB			0	DEFAULT	Incomplete
Hong Kong eSIM 20GB 30Days	Hong Kong eSIM 20GB 30Days - high speed internet - mobile data 5G compatible	0701HVKWFAV	HONG-KONG-ESIM		0	2026-07-01 04:31:21 CEST		y	1			11				B0H73TYH82						B0H73TYH82			0	DEFAULT	Incomplete
Hungary eSIM 3GB 15Days	Hungary eSIM 3GB 15Days - high speed internet - mobile data 5G compatible	0701HVKUZ6A	HUNGARY-ESIM		0	2026-07-01 04:41:40 CEST		y	1			11				B0H73LP8J6						B0H73LP8J6			0	DEFAULT	Incomplete
Iceland eSIM 3GB 15Days	Iceland eSIM 3GB 15Days - high speed internet - mobile data 5G compatible	0701HVNYNLB	ICELAND-ESIM		0	2026-07-01 04:51:43 CEST		y	1			11				B0H741BXKD						B0H741BXKD			0	DEFAULT	Incomplete
India eSIM 3GB 15Days	India eSIM 3GB 15Days - high speed internet - mobile data 5G compatible	0701HVXULML	INDIA-ESIM		0	2026-07-01 05:02:20 CEST		y	1			11				B0H73K26CF						B0H73K26CF			0	DEFAULT	Incomplete
Indonesia eSIM 5GB 30Days	Indonesia eSIM 5GB 30Days - high speed internet - mobile data 5G compatible	0701HVR7Y24	INDONESIA-ESIM		0	2026-07-01 05:13:59 CEST		y	1			11				B0H744LT5K						B0H744LT5K			0	DEFAULT	Incomplete
Iraq eSIM 3GB 15Days	Iraq eSIM 3GB 15Days - high speed internet - mobile data 5G compatible	0630HU4Z04V	IRAQ-ESIM		0	2026-06-30 18:23:57 CEST		y	1			11				B0H72J4PHJ						B0H72J4PHJ			0	DEFAULT	Incomplete
Ireland eSIM 3GB 15Days	Ireland eSIM 3GB 15Days - high speed internet - mobile data 5G compatible	0701HVXLTDR	IRELAND-ESIM		0	2026-07-01 05:25:37 CEST		y	1			11				B0H73XMJX4						B0H73XMJX4			0	DEFAULT	Incomplete
Isle of Man eSIM 3GB 15Days	Isle of Man eSIM 3GB 15Days - high speed internet - mobile data 5G compatible	0701HVY79C7	ISLE-OF-MAN-ESIM		0	2026-07-01 05:37:05 CEST		y	1			11				B0H741DY23						B0H741DY23			0	DEFAULT	Incomplete
Israel eSIM 3GB 15Days	Israel eSIM 3GB 15Days - high speed internet - mobile data 5G compatible	0701HW4JXD9	ISRAEL-ESIM		0	2026-07-01 05:48:02 CEST		y	1			11				B0H73VQM9N						B0H73VQM9N			0	DEFAULT	Incomplete
Italy eSIM 3GB 15Days	Italy eSIM 3GB 15Days - high speed internet - mobile data 5G compatible	0701HW1NCIJ	ITALY-ESIM		0	2026-07-01 05:58:40 CEST		y	1			11				B0H743GL82						B0H743GL82			0	DEFAULT	Incomplete
