sku	fnsku	asin	product-name	condition	your-price	mfn-listing-exists	mfn-fulfillable-quantity	afn-listing-exists	afn-warehouse-quantity	afn-fulfillable-quantity	afn-unsellable-quantity	afn-reserved-quantity	afn-total-quantity	per-unit-volume	afn-inbound-working-quantity	afn-inbound-shipped-quantity	afn-inbound-receiving-quantity	afn-researching-quantity	afn-reserved-future-supply	afn-future-supply-buyable	afn-fulfillable-quantity-local	afn-fulfillable-quantity-remote	afn-fc-transfer-quantity	afn-onhand-buyable-quantity	store
TH_20_30	B0FRCHW3MW	B0FRCHW3MW	Thaïlande eSIM 20 Go 30 Jours	New	17.95	No		Yes	0	0	0	0	100	96.03	0	100	0	0	20	0	0	0	0	0	
TH_3_15	B0FRCDPJSH	B0FRCDPJSH	Thaïlande eSIM 3 Go 15 Jours	New	7.61	No		Yes	0	0	0	0	100	96.03	0	100	0	0	20	0	0	0	0	0	
TH_5_30	B0FR9Q5D1J	B0FR9Q5D1J	Thaïlande eSIM 5 Go 30 Jours	New	4.74	No		Yes	0	0	0	0	100	96.03	0	100	0	0	20	0	0	0	0	0	
TN_5_30	B0FRB7Q96Z	B0FRB7Q96Z	Tunisie eSIM 5 Go 30 Jours	New	14.51	No		Yes	0	0	0	0	25	96.03	0	25	0	0	5	0	0	0	0	0	
TRINIDAD-AND-TOBAGO-20GB-30D	B0H6MF31VP	B0H6MF31VP	Trinité-et-Tobago eSIM 20 Go 30 Jours	New	96.99	No		Yes	0	0	0	0	25	96.03	0	25	0	0	0	5	0	0	0	0	
TRINIDAD-AND-TOBAGO-3GB-15D	B0H6MJTHXK	B0H6MJTHXK	Trinité-et-Tobago eSIM 3 Go 15 Jours	New	22.99	No		Yes	0	0	0	0	25	96.03	0	25	0	0	0	5	0	0	0	0	
TRINIDAD-AND-TOBAGO-5GB-30D	B0H6MJTHY9	B0H6MJTHY9	Trinité-et-Tobago eSIM 5 Go 30 Jours	New	33.99	No		Yes	0	0	0	0	25	96.03	0	25	0	0	0	5	0	0	0	0	
TR_20_30	B0FRCYMWCX	B0FRCYMWCX	Turquie eSIM 20 Go 30 Jours	New	16.76	No		Yes	0	0	0	0	100	96.03	0	100	0	0	20	0	0	0	0	0	
TR_3_15	B0FRC2PSHM	B0FRC2PSHM	Turquie eSIM 3 Go 15 Jours	New	6.47	No		Yes	0	0	0	0	100	96.03	0	100	0	0	15	5	0	0	0	0	
TR_5_30	B0FRCBZ1BB	B0FRCBZ1BB	Turquie eSIM 5 Go 30 Jours	New	4.74	No		Yes	0	0	0	0	99	96.03	0	99	0	0	19	1	0	0	0	0	
TUNISIA-5GB-30D	B0FRB7Q96Z	B0FRB7Q96Z	Tunisie eSIM 5 Go 30 Jours	New	11.99	No		Yes	0	0	0	0	25	96.03	0	25	0	0	5	0	0	0	0	0	
TURKEY-20GB-30D	B0FRCYMWCX	B0FRCYMWCX	Turquie eSIM 20 Go 30 Jours	New	17.99	No		Yes	0	0	0	0	100	96.03	0	100	0	0	20	0	0	0	0	0	
TURKEY-3GB-15D	B0FRC2PSHM	B0FRC2PSHM	Turquie eSIM 3 Go 15 Jours	New	8.99	No		Yes	0	0	0	0	100	96.03	0	100	0	0	15	5	0	0	0	0	
TURKEY-5GB-30D	B0FRCBZ1BB	B0FRCBZ1BB	Turquie eSIM 5 Go 30 Jours	New	8.99	No		Yes	0	0	0	0	99	96.03	0	99	0	0	19	1	0	0	0	0	
TURKS-AND-CAICOS-ISLANDS-20GB-30D	B0H6MLBGX7	B0H6MLBGX7	Iles Turques et Caïques eSIM 20 Go 30 Jours	New	90.99	No		Yes	0	0	0	0	25	96.03	0	25	0	0	0	5	0	0	0	0	
TURKS-AND-CAICOS-ISLANDS-3GB-15D	B0H6MNNXGL	B0H6MNNXGL	Iles Turques et Caïques eSIM 3 Go 15 Jours	New	23.99	No		Yes	0	0	0	0	25	96.03	0	25	0	0	0	5	0	0	0	0	
TURKS-AND-CAICOS-ISLANDS-5GB-30D	B0H6MLH1KM	B0H6MLH1KM	Iles Turques et Caïques eSIM 5 Go 30 Jours	New	29.99	No		Yes	0	0	0	0	25	96.03	0	25	0	0	0	5	0	0	0	0	
