sku	fnsku	asin	product-name	condition	your-price	mfn-listing-exists	mfn-fulfillable-quantity	afn-listing-exists	afn-warehouse-quantity	afn-fulfillable-quantity	afn-unsellable-quantity	afn-reserved-quantity	afn-total-quantity	per-unit-volume	afn-inbound-working-quantity	afn-inbound-shipped-quantity	afn-inbound-receiving-quantity	afn-researching-quantity	afn-reserved-future-supply	afn-future-supply-buyable	store
PHILIPPINES-3GB-15D	B0FRB1GVXK	B0FRB1GVXK	Philippines eSIM 3GB 15Days	New	8.99	No		Yes	0	0	0	0	25	96.03	0	25	0	0	0	5	
PHILIPPINES-5GB-30D	B0FRB4VCKG	B0FRB4VCKG	Philippines eSIM 5GB 30Days	New	10.96	No		Yes	0	0	0	0	25	96.03	0	25	0	0	0	5	
PH_20_30	B0FRB4K2D4	B0FRB4K2D4	Philippines eSIM 20GB 30Days	New	33.87	No		Yes	0	0	0	0	25	96.03	0	25	0	0	4	1	
PH_3_15	B0FRB1GVXK	B0FRB1GVXK	Philippines eSIM 3GB 15Days	New	9.75	No		Yes	0	0	0	0	25	96.03	0	25	0	0	0	5	
PH_5_30	B0FRB4VCKG	B0FRB4VCKG	Philippines eSIM 5GB 30Days	New	13.32	No		Yes	0	0	0	0	25	96.03	0	25	0	0	0	5	
PL_20_30	B0FRB5HSK7	B0FRB5HSK7	Poland eSIM 20GB 30Days	New	16.80	No		Yes	0	0	0	0	100	96.03	0	100	0	0	11	9	
PL_3_15	B0FRB4JVKR	B0FRB4JVKR	Poland eSIM 3GB 15Days	New	6.25	No		Yes	0	0	0	0	100	96.03	0	100	0	0	0	20	
PL_5_30	B0FRBDPQ9J	B0FRBDPQ9J	Poland eSIM 5GB 30Days	New	4.48	No		Yes	0	0	0	0	100	96.03	0	100	0	0	0	20	
POLAND-20GB-30D	B0FRB5HSK7	B0FRB5HSK7	Poland eSIM 20GB 30Days	New	15.99	No		Yes	0	0	0	0	100	96.03	0	100	0	0	11	9	
POLAND-3GB-15D	B0FRB4JVKR	B0FRB4JVKR	Poland eSIM 3GB 15Days	New	8.99	No		Yes	0	0	0	0	100	96.03	0	100	0	0	0	20	
POLAND-5GB-30D	B0FRBDPQ9J	B0FRBDPQ9J	Poland eSIM 5GB 30Days	New	9.99	No		Yes	0	0	0	0	100	96.03	0	100	0	0	0	20	
PORTUGAL-20GB-30D	B0FRB354KV	B0FRB354KV	Portugal eSIM 20GB 30Days	New	15.99	No		Yes	0	0	0	0	100	96.03	0	100	0	0	7	13	
PORTUGAL-3GB-15D	B0FRB4314T	B0FRB4314T	Portugal eSIM 3GB 15Days	New	8.99	No		Yes	0	0	0	0	100	96.03	0	100	0	0	0	20	
PORTUGAL-5GB-30D	B0FRB4X799	B0FRB4X799	Portugal eSIM 5GB 30Days	New	9.99	No		Yes	0	0	0	0	100	96.03	0	100	0	0	0	20	
PT_20_30	B0FRB354KV	B0FRB354KV	Portugal eSIM 20GB 30Days	New	20.39	No		Yes	0	0	0	0	100	96.03	0	100	0	0	7	13	
PT_3_15	B0FRB4314T	B0FRB4314T	Portugal eSIM 3GB 15Days	New	6.24	No		Yes	0	0	0	0	100	96.03	0	100	0	0	0	20	
PT_5_30	B0FRB4X799	B0FRB4X799	Portugal eSIM 5GB 30Days	New	5.65	No		Yes	0	0	0	0	100	96.03	0	100	0	0	0	20	
PUERTO-RICO-3GB-15D	B0FRB5MSF1	B0FRB5MSF1	Puerto Rico eSIM 3GB 15Days	New	12.99	No		Yes	0	0	0	0	25	169.44	0	25	0	0	0	5	
PUERTO-RICO-5GB-30D	B0FR9WMX9V	B0FR9WMX9V	Puerto Rico eSIM 5GB 30Days	New	14.99	No		Yes	0	0	0	0	25	169.44	0	25	0	0	0	5	
QATAR-20GB-30D	B0FR9X3QGM	B0FR9X3QGM	Qatar eSIM 20GB 30Days	New	31.99	No		Yes	0	0	0	0	25	96.03	0	25	0	0	2	3	
QATAR-3GB-15D	B0FR9NXH43	B0FR9NXH43	Qatar eSIM 3GB 15Days	New	10.99	No		Yes	0	0	0	0	25	96.03	0	25	0	0	2	3	
